real_name,DIN_pbias,DIN_2009,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015,DIN_2016,DIN_2017
293,-87.83083248773296,590463.7845292831,1053203.808206146,533557.5606354184,426770.67425670096,131255.42964725397,60359.385425502485,153150.0495177216,571519.6440096488,41665.12890011435
294,-93.83456712571008,1120121.7666005876,2055869.2850448652,1014566.127086443,833535.3113811907,319291.7994402509,144475.17727449167,334959.87621219177,1083714.212780716,123939.71645411465
295,-94.78224489002187,1346554.127318651,2415261.1828708113,1201918.1986627558,992870.6489745575,338755.4105924093,154364.9825232912,379835.39848289435,1342724.8931594705,135102.16985040414
296,-97.63794864936935,2458548.0535633434,3992758.096012735,2224322.6496332763,1991442.5076599112,886760.6033207545,586514.5595244003,1334860.9061472325,4029811.8302816516,845941.2939859687
297,-94.33332639511434,1234421.8848877717,2319570.447776271,1090530.4004050842,934717.0943726467,343857.79466778494,137626.66131897972,344638.07081596163,1117247.114439504,126659.58350358559
298,-94.7261271019329,1301256.2178661358,2440829.858190407,1166513.8642346684,987590.1864054798,390556.3372995786,167234.34505394154,393025.07863823674,1218844.5142639286,153140.05771277528
299,-95.80145029447698,1327635.6702768344,2036510.1490827063,1212631.8903765038,1078713.0379008856,507046.93023081636,366873.64376237977,810790.4730034902,2447077.1011285386,536741.0813456727
300,-92.8384082211079,1002147.2438856771,1785765.0131155679,904790.0240797462,724442.8159677234,224301.4974456659,102384.38631550249,260477.4436582204,974929.9745203423,73314.21402932257
301,-94.41284287652694,1155652.3236843164,1964933.5094075317,1074271.8622801912,876383.2867330943,322647.53489571554,193155.00219673483,456972.16783131496,1494114.2405850796,220003.60555494728
302,-94.54060603700005,1096447.8463058032,1797694.363108355,995625.2148815736,867710.9860283314,375097.91078602633,243049.04090188112,548306.693161892,1686133.8433978995,329626.9187022704
303,-94.82103779376132,1266287.1311344737,2275187.157973986,1127471.5501229134,978807.6400376795,386583.10546232044,193901.3832740332,462502.3336538825,1449917.9599343506,228955.0525341558
304,-94.37234273652827,1252069.7225412512,2213911.5264823684,1145624.3956934665,909035.4069179068,298619.5417928219,144820.76952854395,352575.61809673096,1273879.930776193,111764.24216097425
305,-96.1784331908498,1556197.113653832,2530800.6030610017,1439397.4114319265,1231090.7039948332,518716.11122594745,347097.3724388594,794462.1488632361,2453280.8419027613,471402.6118088061
306,-93.79015594632756,1123222.5379127956,2094093.9626815591,990168.7436677475,851862.6762911417,309808.7904416016,128041.60589338685,318876.1071514329,1044004.649844901,120114.09361787276
307,-93.13112894086673,998783.9619295544,1871893.9596419162,880367.828569439,762425.5675803375,296761.8104868358,125156.12844184751,302767.27770770603,946592.5203882258,125736.41827296815
308,-95.1257816094152,1295680.985538491,2200427.362111211,1211461.3793293445,987952.1289341247,395054.3119293235,239421.3699047126,548801.9666772806,1735052.5557909256,279042.6690048155
309,-94.89580188881374,1250542.238304902,2131801.0090666027,1131206.881666018,965969.4347382052,370655.227541773,216545.00435696612,510472.03514744353,1646590.3543974464,268425.61911798554
310,-95.05787983286703,1414650.3038083925,2601678.96851128,1266872.2279568599,1056389.5954968717,372453.9638103896,160972.10463629424,401940.4545304372,1352931.262559315,142822.7907711647
311,-97.19629906382352,2224602.4150880487,3769989.4758947375,2003924.9134052834,1741041.7775215313,699358.3618707989,417502.3383650663,977110.5026030529,3078238.197997361,548479.7474605808
312,-94.50516070226985,1267022.6730242646,2373416.5297500403,1118961.1694285313,958756.2965240977,361430.7798250433,148681.46237411228,361587.8112878371,1161591.823156919,137028.02074192333
313,-94.57930206581635,1215184.5377516737,2200497.608587879,1064899.0547908165,940881.2099567177,385665.30826324737,185888.96581731254,434794.294818057,1348434.27578771,220125.61030175135
