real_name,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015
19,2933139.3452072586,1518355.7946553084,1265197.6853138602,466168.20242468413,248684.28140895456,594817.8022063962
20,1537551.4874160783,831450.8049744073,690874.4804099229,269625.73092748586,161926.74292030864,366590.73962157004
21,1922898.1832615426,903348.9646474984,777261.0774097992,314977.1975463419,132828.7069711403,311638.405649106
22,2206462.082969542,1118586.593771455,954625.6990779527,363970.3787615925,188747.51387658663,449307.1193555936
23,1308996.5008265793,644676.9826185538,531005.8897110434,179503.23084857097,78887.94496665428,194215.18705532604
24,3846668.551312825,2126321.2190512833,1890332.5895828388,872771.3511151063,564849.2801301917,1260233.081642712
25,2579231.6153292214,1503021.8474340593,1258591.805082531,531828.4955046643,366484.12978708686,823452.0462939179
26,2559364.1376282256,1445985.126274687,1223312.5638436067,502207.63916785043,329806.1478657141,753955.3497831466
27,1805187.1428321064,909170.8388007124,731222.9890922384,230272.3010689403,104473.38265424191,263873.89997164736
28,1910426.7309460125,981380.9200677613,802579.2529567492,300989.14900308516,152421.57291717216,354217.85302253655
29,2251684.6357924715,1083126.2448789456,940104.5327287416,368215.4542754684,168530.9738510705,399633.23905486695
30,2314504.6150100664,1285607.1378747956,1010511.5799002264,376312.6392462808,224798.5682995267,516868.7352886609
31,2212389.505076928,1039045.0544571145,910616.1288991605,359841.0375963343,154439.5127068399,371373.7024180148
32,1814959.196268339,961611.950308835,768976.877867594,244627.91489160605,131820.6414369923,331366.67932463734
33,2790267.396711823,1458051.9636721888,1192700.6106241196,459489.3844322291,244840.5770856788,568210.9189390887
34,1794336.2802500376,918595.3050883416,779999.0820141145,308780.4528885237,164945.13387058035,381364.2420835816
35,3295308.976775857,1632595.6607931128,1367068.217868311,505721.7814955757,237142.63089286373,567312.3453099596
36,2560172.407756066,1277850.852587028,1040607.3309968882,364611.65816464135,165303.39486115778,403887.8756668943
37,1712819.0115675528,918863.9719393649,739006.046604436,257103.04087923246,145356.31810381578,348728.01447536354
